day_date,age_group,serious_amount_vaccinated,serious_amount_expired,serious_amount_not_vaccinated,new_serious_amount_vaccinated,new_serious_amount_expired,new_serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_expired_normalized,serious_not_vaccinated_normalized,new_serious_vaccinated_normalized,new_serious_expired_normalized,new_serious_not_vaccinated_normalized
2021-01-29T00:00:00.000Z,מעל גיל 60,8,0,449,4,0,45,1.3,,113.2,0.6,,11.3
2021-01-30T00:00:00.000Z,מתחת לגיל 60,4,0,275,1,0,27,1.1,,4.5,0.3,,0.4
2021-01-30T00:00:00.000Z,כלל האוכלוסיה,20,0,721,9,0,60,1.9,,11.2,0.9,,0.9
2021-01-30T00:00:00.000Z,מעל גיל 60,16,0,446,8,0,33,2.4,,112.9,1.2,,8.4
2021-01-31T00:00:00.000Z,מעל גיל 60,21,0,434,8,0,45,2.9,,111.3,1.1,,11.5
2021-01-31T00:00:00.000Z,מתחת לגיל 60,4,0,290,0,0,42,0.9,,4.8,0,,0.7
2021-01-31T00:00:00.000Z,כלל האוכלוסיה,25,0,724,8,0,87,2.1,,11.4,0.7,,1.4
2021-02-01T00:00:00.000Z,כלל האוכלוסיה,33,0,720,10,0,90,2.5,,11.5,0.8,,1.4
2021-02-01T00:00:00.000Z,מתחת לגיל 60,4,0,271,0,0,24,0.8,,4.6,0,,0.4
2021-02-01T00:00:00.000Z,מעל גיל 60,29,0,448,10,0,65,3.6,,116.7,1.3,,16.9
2021-02-02T00:00:00.000Z,מתחת לגיל 60,4,0,273,1,0,45,0.7,,4.7,0.2,,0.8
2021-02-02T00:00:00.000Z,מעל גיל 60,34,0,423,12,0,43,4,,111.8,1.4,,11.4
2021-02-02T00:00:00.000Z,כלל האוכלוסיה,38,0,698,13,0,89,2.6,,11.3,0.9,,1.4
2021-02-03T00:00:00.000Z,מעל גיל 60,35,0,436,12,0,61,3.8,,116.8,1.3,,16.3
2021-02-03T00:00:00.000Z,כלל האוכלוסיה,39,0,726,12,0,115,2.5,,11.8,0.8,,1.9
2021-02-03T00:00:00.000Z,מתחת לגיל 60,4,0,289,0,0,54,0.6,,5,0,,0.9
2021-02-04T00:00:00.000Z,כלל האוכלוסיה,46,0,725,15,0,97,2.7,,12,0.9,,1.6
2021-02-04T00:00:00.000Z,מעל גיל 60,42,0,431,14,0,52,4.3,,116.8,1.4,,14.1
2021-02-04T00:00:00.000Z,מתחת לגיל 60,4,0,293,1,0,45,0.6,,5.1,0.1,,0.8
2021-02-05T00:00:00.000Z,כלל האוכלוסיה,43,0,737,10,0,93,2.4,,12.2,0.6,,1.5
2021-02-05T00:00:00.000Z,מתחת לגיל 60,5,0,313,1,0,48,0.7,,5.5,0.1,,0.8
2021-02-05T00:00:00.000Z,מעל גיל 60,38,0,423,9,0,45,3.8,,115.3,0.9,,12.3
2021-02-06T00:00:00.000Z,מעל גיל 60,37,0,444,6,0,50,3.7,,121.4,0.6,,13.7
2021-02-06T00:00:00.000Z,כלל האוכלוסיה,43,0,762,7,0,80,2.4,,12.7,0.4,,1.3
2021-02-06T00:00:00.000Z,מתחת לגיל 60,6,0,317,1,0,30,0.8,,5.6,0.1,,0.5
2021-02-07T00:00:00.000Z,מעל גיל 60,40,0,454,7,0,57,3.9,,125.4,0.7,,15.7
2021-02-07T00:00:00.000Z,מתחת לגיל 60,6,0,329,2,0,42,0.7,,5.9,0.2,,0.7
2021-02-07T00:00:00.000Z,כלל האוכלוסיה,46,0,784,9,0,99,2.4,,13.2,0.5,,1.7
2021-02-08T00:00:00.000Z,כלל האוכלוסיה,53,0,760,15,0,102,2.8,,12.9,0.8,,1.7
2021-02-08T00:00:00.000Z,מעל גיל 60,46,0,444,13,0,64,4.5,,124,1.3,,17.9
2021-02-08T00:00:00.000Z,מתחת לגיל 60,7,0,314,2,0,37,0.8,,5.6,0.2,,0.7
2021-02-09T00:00:00.000Z,מעל גיל 60,46,0,421,7,0,41,4.4,,119.1,0.7,,11.6
2021-02-09T00:00:00.000Z,מתחת לגיל 60,6,0,310,0,0,41,0.7,,5.6,0,,0.7
2021-02-09T00:00:00.000Z,כלל האוכלוסיה,52,0,734,7,0,83,2.7,,12.6,0.4,,1.4
2021-02-10T00:00:00.000Z,מעל גיל 60,49,0,431,10,0,59,4.7,,123.6,0.9,,16.9
2021-02-10T00:00:00.000Z,כלל האוכלוסיה,54,0,744,10,0,109,2.7,,12.9,0.5,,1.9
2021-02-10T00:00:00.000Z,מתחת לגיל 60,5,0,310,0,0,50,0.5,,5.7,0,,0.9
2021-02-11T00:00:00.000Z,מעל גיל 60,41,0,402,5,0,36,3.9,,117,0.5,,10.5
2021-02-11T00:00:00.000Z,מתחת לגיל 60,4,0,321,0,0,46,0.4,,6,0,,0.9
2021-02-11T00:00:00.000Z,כלל האוכלוסיה,45,0,725,5,0,83,2.2,,12.8,0.2,,1.5
2021-02-12T00:00:00.000Z,מתחת לגיל 60,4,0,306,0,0,21,0.4,,5.7,0,,0.4
2021-02-12T00:00:00.000Z,כלל האוכלוסיה,43,0,698,6,0,63,2.1,,12.4,0.3,,1.1
2021-02-12T00:00:00.000Z,מעל גיל 60,39,0,391,6,0,42,3.7,,114.6,0.6,,12.3
2021-02-13T00:00:00.000Z,כלל האוכלוסיה,36,0,709,2,0,95,1.7,,12.6,0.1,,1.7
2021-02-13T00:00:00.000Z,מתחת לגיל 60,4,0,310,1,0,42,0.4,,5.8,0.1,,0.8
2021-02-13T00:00:00.000Z,מעל גיל 60,32,0,398,1,0,53,3,,117.2,0.1,,15.6
2021-02-14T00:00:00.000Z,כלל האוכלוסיה,45,0,732,12,0,97,2.1,,13.2,0.6,,1.8
2021-02-14T00:00:00.000Z,מתחת לגיל 60,4,0,325,0,0,45,0.4,,6.2,0,,0.9
2021-02-14T00:00:00.000Z,מעל גיל 60,41,0,405,12,0,51,3.8,,121.4,1.1,,15.3
2021-02-15T00:00:00.000Z,מתחת לגיל 60,5,0,321,1,0,44,0.4,,6.2,0.1,,0.9
2021-02-15T00:00:00.000Z,מעל גיל 60,43,0,404,7,0,55,4,,123.5,0.6,,16.8
2021-02-15T00:00:00.000Z,כלל האוכלוסיה,48,0,727,8,0,99,2.1,,13.3,0.4,,1.8
2021-02-16T00:00:00.000Z,מעל גיל 60,39,0,378,4,0,37,3.6,,117.9,0.4,,11.5
2021-02-16T00:00:00.000Z,מתחת לגיל 60,4,0,318,0,0,36,0.3,,6.3,0,,0.7
2021-02-16T00:00:00.000Z,כלל האוכלוסיה,43,0,697,4,0,73,1.9,,13,0.2,,1.4
2021-02-17T00:00:00.000Z,כלל האוכלוסיה,45,0,699,10,0,72,1.9,,13.2,0.4,,1.4
2021-02-17T00:00:00.000Z,מעל גיל 60,39,0,373,8,0,37,3.6,,117.7,0.7,,11.7
2021-02-17T00:00:00.000Z,מתחת לגיל 60,6,0,325,2,0,35,0.5,,6.5,0.2,,0.7
2021-02-18T00:00:00.000Z,כלל האוכלוסיה,42,0,662,4,0,61,1.7,,12.6,0.2,,1.2
2021-02-18T00:00:00.000Z,מתחת לגיל 60,6,0,310,0,0,30,0.5,,6.3,0,,0.6
2021-02-18T00:00:00.000Z,מעל גיל 60,36,0,351,4,0,31,3.3,,112.3,0.4,,9.9
2021-02-19T00:00:00.000Z,מעל גיל 60,30,0,328,4,0,25,2.7,,105.7,0.4,,8.1
2021-02-19T00:00:00.000Z,כלל האוכלוסיה,36,0,618,5,0,47,1.4,,11.9,0.2,,0.9
2021-02-19T00:00:00.000Z,מתחת לגיל 60,6,0,289,1,0,22,0.4,,5.9,0.1,,0.4
2021-02-20T00:00:00.000Z,כלל האוכלוסיה,35,0,619,5,0,54,1.4,,12,0.2,,1
2021-02-20T00:00:00.000Z,מתחת לגיל 60,7,0,305,1,0,38,0.5,,6.2,0.1,,0.8
2021-02-20T00:00:00.000Z,מעל גיל 60,28,0,313,4,0,16,2.5,,101.4,0.4,,5.2
2021-02-21T00:00:00.000Z,מתחת לגיל 60,6,0,306,1,0,33,0.4,,6.3,0.1,,0.7
2021-02-21T00:00:00.000Z,כלל האוכלוסיה,35,0,614,5,0,66,1.3,,12.1,0.2,,1.3
2021-02-21T00:00:00.000Z,מעל גיל 60,29,0,307,4,0,33,2.6,,101.6,0.4,,10.9
2021-02-22T00:00:00.000Z,מתחת לגיל 60,5,0,302,1,0,44,0.3,,6.4,0.1,,0.9
2021-02-22T00:00:00.000Z,כלל האוכלוסיה,32,0,618,6,0,88,1.2,,12.4,0.2,,1.8
2021-02-22T00:00:00.000Z,מעל גיל 60,27,0,315,5,0,44,2.4,,106.8,0.4,,14.9
2021-02-23T00:00:00.000Z,כלל האוכלוסיה,35,0,600,6,0,77,1.3,,12.2,0.2,,1.6
2021-02-23T00:00:00.000Z,מעל גיל 60,30,0,305,5,0,37,2.7,,105.7,0.4,,12.8
2021-02-23T00:00:00.000Z,מתחת לגיל 60,5,0,295,1,0,40,0.3,,6.3,0.1,,0.9
2021-02-24T00:00:00.000Z,כלל האוכלוסיה,36,0,591,5,0,77,1.3,,12.1,0.2,,1.6
2021-02-24T00:00:00.000Z,מתחת לגיל 60,6,0,295,1,0,39,0.4,,6.4,0.1,,0.8
2021-02-24T00:00:00.000Z,מעל גיל 60,30,0,296,4,0,38,2.6,,104.5,0.4,,13.4
2021-02-25T00:00:00.000Z,כלל האוכלוסיה,33,0,580,4,0,80,1.1,,12,0.1,,1.7
2021-02-25T00:00:00.000Z,מתחת לגיל 60,6,0,287,0,0,35,0.3,,6.3,0,,0.8
2021-02-25T00:00:00.000Z,מעל גיל 60,27,0,293,4,0,45,2.4,,105.2,0.4,,16.2
2021-02-26T00:00:00.000Z,מתחת לגיל 60,6,0,284,0,0,31,0.3,,6.2,0,,0.7
2021-02-26T00:00:00.000Z,מעל גיל 60,29,0,279,5,0,31,2.5,,100.9,0.4,,11.2
2021-02-26T00:00:00.000Z,כלל האוכלוסיה,35,0,563,5,0,62,1.2,,11.8,0.2,,1.3
2021-02-27T00:00:00.000Z,מעל גיל 60,36,0,277,9,0,27,3.1,,100.7,0.8,,9.8
2021-02-27T00:00:00.000Z,כלל האוכלוסיה,42,0,550,9,0,46,1.4,,11.5,0.3,,1
2021-02-27T00:00:00.000Z,מתחת לגיל 60,6,0,273,0,0,19,0.3,,6,0,,0.4
2021-02-28T00:00:00.000Z,מתחת לגיל 60,6,0,277,0,0,31,0.3,,6.2,0,,0.7
2021-02-28T00:00:00.000Z,כלל האוכלוסיה,45,0,559,5,0,66,1.5,,11.8,0.2,,1.4
2021-02-28T00:00:00.000Z,מעל גיל 60,39,0,282,5,0,35,3.4,,103.9,0.4,,12.9
2021-03-01T00:00:00.000Z,מתחת לגיל 60,7,0,262,2,0,36,0.4,,5.9,0.1,,0.8
2021-03-01T00:00:00.000Z,כלל האוכלוסיה,44,0,545,5,0,82,1.4,,11.6,0.2,,1.8
2021-03-01T00:00:00.000Z,מעל גיל 60,37,0,283,3,0,46,3.2,,106.1,0.3,,17.2
2021-03-02T00:00:00.000Z,מעל גיל 60,37,0,273,7,0,34,3.2,,104.3,0.6,,13
2021-03-02T00:00:00.000Z,כלל האוכלוסיה,42,0,520,7,0,63,1.3,,11.2,0.2,,1.4
2021-03-02T00:00:00.000Z,מתחת לגיל 60,5,0,247,0,0,29,0.2,,5.6,0,,0.7
2021-03-03T00:00:00.000Z,כלל האוכלוסיה,44,0,525,10,0,70,1.3,,11.4,0.3,,1.5
2021-03-03T00:00:00.000Z,מתחת לגיל 60,8,0,240,4,0,26,0.4,,5.5,0.2,,0.6
2021-03-03T00:00:00.000Z,מעל גיל 60,36,0,285,6,0,44,3.1,,111,0.5,,17.1
2021-03-04T00:00:00.000Z,מתחת לגיל 60,10,0,236,2,0,29,0.5,,5.4,0.1,,0.7
2021-03-04T00:00:00.000Z,מעל גיל 60,41,0,280,7,0,32,3.5,,111,0.6,,12.7
2021-03-04T00:00:00.000Z,כלל האוכלוסיה,51,0,516,9,0,61,1.5,,11.3,0.3,,1.3
2021-03-05T00:00:00.000Z,מתחת לגיל 60,9,0,223,1,0,28,0.4,,5.1,0,,0.6
2021-03-05T00:00:00.000Z,מעל גיל 60,40,0,262,5,0,27,3.4,,104.6,0.4,,10.8
2021-03-05T00:00:00.000Z,כלל האוכלוסיה,49,0,485,6,0,55,1.5,,10.7,0.2,,1.2
2021-03-06T00:00:00.000Z,כלל האוכלוסיה,55,0,505,9,0,71,1.6,,11.1,0.3,,1.6
2021-03-06T00:00:00.000Z,מעל גיל 60,47,0,271,9,0,37,4,,108.7,0.8,,14.8
2021-03-06T00:00:00.000Z,מתחת לגיל 60,8,0,234,0,0,34,0.4,,5.4,0,,0.8
2021-03-07T00:00:00.000Z,כלל האוכלוסיה,54,0,523,4,0,55,1.6,,11.6,0.1,,1.2
2021-03-07T00:00:00.000Z,מתחת לגיל 60,8,0,244,1,0,33,0.4,,5.7,0,,0.8
2021-03-07T00:00:00.000Z,מעל גיל 60,46,0,279,3,0,22,3.9,,113.6,0.3,,9
2021-03-08T00:00:00.000Z,מעל גיל 60,47,0,261,5,0,32,4,,107.7,0.4,,13.2
2021-03-08T00:00:00.000Z,מתחת לגיל 60,9,0,240,2,0,35,0.4,,5.6,0.1,,0.8
2021-03-08T00:00:00.000Z,כלל האוכלוסיה,56,0,501,7,0,67,1.6,,11.2,0.2,,1.5
2021-03-09T00:00:00.000Z,מתחת לגיל 60,9,0,235,0,0,20,0.4,,5.5,0,,0.5
2021-03-09T00:00:00.000Z,מעל גיל 60,46,0,251,4,0,16,3.9,,104.9,0.3,,6.7
2021-03-09T00:00:00.000Z,כלל האוכלוסיה,55,0,486,4,0,36,1.5,,10.9,0.1,,0.8
2021-03-10T00:00:00.000Z,כלל האוכלוסיה,54,0,477,5,0,58,1.5,,10.8,0.1,,1.3
2021-03-10T00:00:00.000Z,מעל גיל 60,46,0,252,5,0,31,3.8,,106.4,0.4,,13.1
2021-03-10T00:00:00.000Z,מתחת לגיל 60,8,0,225,0,0,27,0.3,,5.3,0,,0.6
2021-03-11T00:00:00.000Z,מתחת לגיל 60,7,0,223,0,0,21,0.3,,5.3,0,,0.5
2021-03-11T00:00:00.000Z,כלל האוכלוסיה,50,0,466,4,0,46,1.3,,10.6,0.1,,1
2021-03-11T00:00:00.000Z,מעל גיל 60,43,0,243,4,0,25,3.6,,103.6,0.3,,10.7
2021-03-12T00:00:00.000Z,מעל גיל 60,43,0,228,5,0,22,3.6,,97.7,0.4,,9.4
2021-03-12T00:00:00.000Z,מתחת לגיל 60,9,0,216,3,0,23,0.4,,5.1,0.1,,0.5
2021-03-12T00:00:00.000Z,כלל האוכלוסיה,52,0,444,8,0,45,1.4,,10.1,0.2,,1
2021-03-13T00:00:00.000Z,מתחת לגיל 60,9,0,212,1,0,21,0.3,,5,0,,0.5
2021-03-13T00:00:00.000Z,כלל האוכלוסיה,51,0,439,5,0,37,1.3,,10,0.1,,0.8
2021-03-13T00:00:00.000Z,מעל גיל 60,42,0,227,4,0,16,3.5,,97.6,0.3,,6.9
2021-03-14T00:00:00.000Z,מתחת לגיל 60,8,0,227,0,0,32,0.3,,5.4,0,,0.8
2021-03-14T00:00:00.000Z,כלל האוכלוסיה,51,0,454,4,0,60,1.3,,10.4,0.1,,1.4
2021-03-14T00:00:00.000Z,מעל גיל 60,43,0,227,4,0,28,3.5,,98.5,0.3,,12.1
2021-03-15T00:00:00.000Z,כלל האוכלוסיה,52,0,419,7,0,37,1.3,,9.6,0.2,,0.9
2021-03-15T00:00:00.000Z,מתחת לגיל 60,9,0,205,2,0,17,0.3,,4.9,0.1,,0.4
2021-03-15T00:00:00.000Z,מעל גיל 60,43,0,214,5,0,20,3.5,,93.7,0.4,,8.8
2021-03-16T00:00:00.000Z,כלל האוכלוסיה,48,0,422,4,0,47,1.2,,9.8,0.1,,1.1
2021-03-16T00:00:00.000Z,מתחת לגיל 60,8,0,211,0,0,29,0.3,,5.1,0,,0.7
2021-03-16T00:00:00.000Z,מעל גיל 60,40,0,211,4,0,18,3.3,,93.1,0.3,,7.9
2021-03-17T00:00:00.000Z,מתחת לגיל 60,6,0,204,0,0,20,0.2,,4.9,0,,0.5
2021-03-17T00:00:00.000Z,מעל גיל 60,43,0,199,4,0,14,3.5,,88.5,0.3,,6.2
2021-03-17T00:00:00.000Z,כלל האוכלוסיה,49,0,403,4,0,34,1.2,,9.4,0.1,,0.8
2021-03-18T00:00:00.000Z,מעל גיל 60,42,0,205,6,0,18,3.4,,91.8,0.5,,8.1
2021-03-18T00:00:00.000Z,כלל האוכלוסיה,49,0,412,8,0,44,1.2,,9.6,0.2,,1
2021-03-18T00:00:00.000Z,מתחת לגיל 60,7,0,207,2,0,26,0.2,,5,0.1,,0.6
2021-03-19T00:00:00.000Z,מתחת לגיל 60,6,0,196,1,0,16,0.2,,4.8,0,,0.4
2021-03-19T00:00:00.000Z,מעל גיל 60,42,0,203,3,0,15,3.4,,91.2,0.2,,6.7
2021-03-19T00:00:00.000Z,כלל האוכלוסיה,48,0,399,4,0,31,1.1,,9.3,0.1,,0.7
2021-03-20T00:00:00.000Z,מתחת לגיל 60,8,0,186,2,0,15,0.3,,4.5,0.1,,0.4
2021-03-20T00:00:00.000Z,כלל האוכלוסיה,46,0,390,3,0,32,1.1,,9.1,0.1,,0.7
2021-03-20T00:00:00.000Z,מעל גיל 60,38,0,204,1,0,17,3.1,,91.9,0.1,,7.7
2021-03-21T00:00:00.000Z,מתחת לגיל 60,7,0,186,1,0,9,0.2,,4.5,0,,0.2
2021-03-21T00:00:00.000Z,מעל גיל 60,45,0,211,8,0,25,3.6,,95.6,0.6,,11.3
2021-03-21T00:00:00.000Z,כלל האוכלוסיה,52,0,397,9,0,34,1.2,,9.3,0.2,,0.8
2021-03-22T00:00:00.000Z,כלל האוכלוסיה,44,0,372,3,0,24,1,,8.7,0.1,,0.6
2021-03-22T00:00:00.000Z,מתחת לגיל 60,5,0,176,0,0,11,0.2,,4.3,0,,0.3
2021-03-22T00:00:00.000Z,מעל גיל 60,39,0,196,3,0,13,3.1,,89.4,0.2,,5.9
2021-03-23T00:00:00.000Z,כלל האוכלוסיה,42,0,363,4,0,24,0.9,,8.5,0.1,,0.6
2021-03-23T00:00:00.000Z,מתחת לגיל 60,5,0,174,0,0,12,0.2,,4.3,0,,0.3
2021-03-23T00:00:00.000Z,מעל גיל 60,37,0,189,4,0,12,2.9,,86.4,0.3,,5.5
2021-03-24T00:00:00.000Z,מתחת לגיל 60,5,0,166,0,0,10,0.2,,4.1,0,,0.2
2021-03-24T00:00:00.000Z,כלל האוכלוסיה,36,0,356,2,0,28,0.8,,8.4,0,,0.7
2021-03-24T00:00:00.000Z,מעל גיל 60,31,0,190,2,0,18,2.4,,87.4,0.2,,8.3
2021-03-25T00:00:00.000Z,מתחת לגיל 60,7,0,163,3,0,13,0.2,,4,0.1,,0.3
2021-03-25T00:00:00.000Z,כלל האוכלוסיה,37,0,357,5,0,32,0.8,,8.4,0.1,,0.8
2021-03-25T00:00:00.000Z,מעל גיל 60,30,0,194,2,0,19,2.4,,89.7,0.2,,8.8
2021-03-26T00:00:00.000Z,מעל גיל 60,32,0,186,3,0,12,2.5,,86.2,0.2,,5.6
2021-03-26T00:00:00.000Z,מתחת לגיל 60,6,0,148,0,0,9,0.2,,3.6,0,,0.2
2021-03-26T00:00:00.000Z,כלל האוכלוסיה,38,0,334,3,0,21,0.8,,7.9,0.1,,0.5
2021-03-27T00:00:00.000Z,מעל גיל 60,30,0,182,0,0,9,2.3,,84.5,0,,4.2
2021-03-27T00:00:00.000Z,מתחת לגיל 60,6,0,145,0,0,6,0.2,,3.6,0,,0.1
2021-03-27T00:00:00.000Z,כלל האוכלוסיה,36,0,327,0,0,15,0.8,,7.7,0,,0.4
2021-03-28T00:00:00.000Z,כלל האוכלוסיה,40,0,328,5,0,17,0.8,,7.8,0.1,,0.4
2021-03-28T00:00:00.000Z,מתחת לגיל 60,8,0,149,2,0,8,0.2,,3.7,0.1,,0.2
2021-03-28T00:00:00.000Z,מעל גיל 60,32,0,179,3,0,9,2.5,,83.2,0.2,,4.2
2021-03-29T00:00:00.000Z,כלל האוכלוסיה,41,0,319,2,0,12,0.9,,7.6,0,,0.3
2021-03-29T00:00:00.000Z,מתחת לגיל 60,8,0,147,0,0,4,0.2,,3.6,0,,0.1
2021-03-29T00:00:00.000Z,מעל גיל 60,33,0,172,2,0,8,2.6,,80.4,0.2,,3.7
2021-03-30T00:00:00.000Z,מעל גיל 60,33,0,141,3,0,6,2.6,,66.2,0.2,,2.8
2021-03-30T00:00:00.000Z,מתחת לגיל 60,7,0,139,0,0,7,0.2,,3.4,0,,0.2
2021-03-30T00:00:00.000Z,כלל האוכלוסיה,40,0,280,3,0,13,0.8,,6.7,0.1,,0.3
2021-03-31T00:00:00.000Z,מעל גיל 60,33,0,142,3,0,13,2.6,,67.1,0.2,,6.1
2021-03-31T00:00:00.000Z,כלל האוכלוסיה,39,0,274,3,0,17,0.8,,6.5,0.1,,0.4
2021-03-31T00:00:00.000Z,מתחת לגיל 60,6,0,132,0,0,4,0.2,,3.3,0,,0.1
2021-04-01T00:00:00.000Z,מעל גיל 60,32,0,137,2,0,10,2.5,,65.2,0.2,,4.8
2021-04-01T00:00:00.000Z,מתחת לגיל 60,5,0,128,0,0,3,0.1,,3.2,0,,0.1
2021-04-01T00:00:00.000Z,כלל האוכלוסיה,37,0,265,2,0,13,0.8,,6.3,0,,0.3
2021-04-02T00:00:00.000Z,מעל גיל 60,28,0,125,1,0,6,2.2,,59.6,0.1,,2.9
2021-04-02T00:00:00.000Z,מתחת לגיל 60,5,0,119,0,0,6,0.1,,2.9,0,,0.1
2021-04-02T00:00:00.000Z,כלל האוכלוסיה,33,0,244,1,0,12,0.7,,5.8,0,,0.3
2021-04-03T00:00:00.000Z,מתחת לגיל 60,6,0,124,1,0,8,0.2,,3.1,0,,0.2
2021-04-03T00:00:00.000Z,מעל גיל 60,29,0,122,2,0,3,2.2,,58.3,0.2,,1.4
2021-04-03T00:00:00.000Z,כלל האוכלוסיה,35,0,246,3,0,11,0.7,,5.9,0.1,,0.3
2021-04-04T00:00:00.000Z,מתחת לגיל 60,7,0,124,1,0,5,0.2,,3.1,0,,0.1
2021-04-04T00:00:00.000Z,מעל גיל 60,24,0,120,2,0,6,1.8,,57.7,0.2,,2.9
2021-04-04T00:00:00.000Z,כלל האוכלוסיה,31,0,244,3,0,11,0.6,,5.8,0.1,,0.3
2021-04-05T00:00:00.000Z,מתחת לגיל 60,5,0,113,0,0,1,0.1,,2.8,0,,0
2021-04-05T00:00:00.000Z,כלל האוכלוסיה,29,0,225,5,0,6,0.6,,5.4,0.1,,0.1
2021-04-05T00:00:00.000Z,מעל גיל 60,24,0,112,5,0,5,1.8,,54.2,0.4,,2.4
2021-04-06T00:00:00.000Z,מעל גיל 60,27,0,107,4,0,3,2.1,,52.1,0.3,,1.5
2021-04-06T00:00:00.000Z,מתחת לגיל 60,5,0,112,1,0,5,0.1,,2.8,0,,0.1
2021-04-06T00:00:00.000Z,כלל האוכלוסיה,32,0,219,5,0,8,0.7,,5.3,0.1,,0.2
