rn,title,shortTitle,secondaryTitle,imageSrc,url,description,dividerColor,sortOrder,linkUpdatedFromDate,groupID,groupTitle,groupShortTitle,groupMainUrl,displayInMenu,isPublic,onlyForMobile,onlyForDesktop,section,shortUrl
16,בדיקות יומיות בעולם,"תמונת מצב אודות בדיקות יומיות, במדינות העולם",,./assets/images/link_tests2.jpg,https://ourworldindata.org/explorers/coronavirus-data-explorer?tab=map&zoomToSelection=true&facet=none&pickerSort=asc&pickerMetric=location&Interval=7-day+rolling+average&Relative+to+Population=true&Color+by+test+positivity=false&country=USA~GBR~CAN~DEU~ITA~IND~ISR&Metric=Tests,,,2,,,Our world in data,Our world in data,,,True,,,tests,ourworldindata.org
17,מאומתים לפי מדינות העולם,"תמונת מצב בעולם, מספר מאומתים יומי לפי מדינות",,./assets/images/link_abroad2.jpg,https://ourworldindata.org/explorers/coronavirus-data-explorer?zoomToSelection=true&time=2020-03-01..2021-11-27&facet=none&pickerSort=asc&pickerMetric=location&Metric=Confirmed+cases&Interval=7-day+rolling+average&Relative+to+Population=true&Align+outbreaks=false&country=USA~GBR~CAN~DEU~ITA~IND~ISR,,,2,,,,,,,True,,,abroad,ourworldindata.org
19,מוקדי התחסנות,"מפת מוקדי ההתחסנות נגד נגיף הקורונה, כולל נתונים אודות שעות פתיחה וניווט",,./assets/images/link_vaccinated2.jpg,https://experience.arcgis.com/experience/56366a8bdc354de48472aaf4b659efca/page/%D7%93%D7%A3-1/,,,2,,3,מאגרי מידע Data Gov,Data Gov,,,True,,,vaccinated,experience.arcgis.com
22,רובעי רמזור,"תמונת מצב מובחנת אודות האוכלוסיה, בתוך תשעת היישובים הגדולים בארץ, ""רובעי רמזור""",,./assets/images/link_ramzor2.jpg,https://imoh.maps.arcgis.com/apps/dashboards/ab0847fd7db44b5e80ca70b0465155ff,,,2,,2,GIS,GIS,,True,True,,,ramzor,maps.arcgis.com
9,טבלת גילאי המתחסנים,מספר המתחסנים במנה הראשונה והשנייה לפי גילאים,,./assets/images/link_vaccinated3.jpg,https://data.gov.il/dataset/covid-19/resource/57410611-936c-49a6-ac3c-838171055b1f,מספר המתחסנים במנה ראשונה ומנה שניה ברמת היום בקטגוריות של קבוצות גיל.,#9777de,3,2021-05-09T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,vaccinated,data.gov.il
14,סוגי בדיקות,מרכז המידע לקורונה של משרד הבריאות,,./assets/images/link_tests3.jpg,https://corona.health.gov.il/directives/corona-tests/?tab=test-types,,,3,,2,GIS,GIS,,True,True,,,tests,health.gov.il
18,נתוני תחלואה בעולם WHO,"תמונת מצב בעולם מוצגת ע""י ארגון הבריאות העולמי",,./assets/images/link_abroad3.jpg,https://secure-web.cisco.com/1ai0Q334xOqo_nvmSXtcklTL9V8NCXbMAgScNyZJaUkXhCMdxoOyv3L6kzV5X6VOp7Bwu2v_5TeC7UfDICfML6KTvQecXGshqBojP0KvIr8dB0r4dhwugrTKVa-jMEjt2z7BY9syOhQPL9gNhFzIf2yhD3QvxftpX8CNYN_TDUET2izueutk4Aiu9ckHcB15ebRgmLbXxbwftyXU4sVZyT5d0iUOpGG3i-Q1qQnDW1pl3wgwvJiX4RTlILrCSefwsONS7kOUkjRVSSfoBkAMxldVM3Ut3F8OzoHPHh1vpufxeqlX9bQyP9AWkiVNUGwKzZiY1pHyaIjqiPjlxL6DOR3D0rKX0W6PS39_ZjCacKikip3twdfddQi_fZEu9531CiDhl8OSB5gHZ1gU_q4L0G58ZqyH-2bjAjOPq4xFUkcRWeJAQIT19aWHON1Sde0z8UaCJ3tmx6Y29rewkZghahaUoyzeXTZa-dQu22-semZ26jRC_w_S-PiPDPMUcdO-44nUhoGL8IEDFO1Pj4v5zPA/https%3A%2F%2Fcovid19.who.int%2F,,,3,,,WHO,WHO,,,True,,,abroad,covid19.who.int
21,נתוני תחלואה לפי יישוב,"תמונת מצב לפי יישוב בקטגוריות- חולים פעילים, מבודדים, מאושפזים, נפטרים ומחוסנים בתוקף",,./assets/images/link_ramzor3.jpg,https://experience.arcgis.com/experience/fe6d4f3c82a149e3a1981f2661bb95ae?locale=he,,,3,,2,GIS,GIS,,True,True,,,ramzor,experience.arcgis.com
23,נתוני קורונה לפי אזורים,"נתוני הלמ""ס לפי אזורים",,./assets/images/link_isolated3.jpg,https://data.gov.il/dataset/covid-19/resource/d07c0771-01a8-43b2-96cc-c6154e7fa9bd,,,3,,,,,,,True,,,isolated,data.gov.il
8,טבלת המאושפזים,,,,https://data.gov.il/dataset/covid-19/resource/e4bf0ab8-ec88-4f9b-8669-f2cc78273edd,מידע על המאושפזים בשל קורונה ברמה יומית ועל פי המצב הקליני,#0faad8,4,2021-05-09T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
2,טבלת אימותים לאחר חיסון,,,,https://data.gov.il/dataset/covid-19/resource/9b623a64-f7df-4d0c-9f57-09bd99a88880,"מספר המחוסנים שאומתו לקורונה לאחר החיסון, בקטגוריות של קבוצות גיל ועל פני הזמן.",#3564cc,5,2021-05-05T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
1,טבלת האזורים הסטטיסטיים,,,./assets/images/link_isolated2.jpg,https://data.gov.il/dataset/covid-19/resource/d07c0771-01a8-43b2-96cc-c6154e7fa9bd,"מספרי מאומתים, מחלימים, מאושפזים, נפטרים ומחוסנים ברמת היום והאזור הסטטיסטי",#007f7f,6,2021-05-09T00:00:00.000Z,3,מאגרי מידע Data Gov,Data Gov,https://data.gov.il/dataset/covid-19,False,True,False,False,,
6,בידודים פעילים,בידודים פעילים לפי רשויות וקבוצות גיל,לפי רשויות וקבוצות גיל,./assets/images/map_sample2.jpg,https://experience.arcgis.com/experience/8a4709f34a814e16a15f1da6847fe9a3,,,6,2022-01-02T00:00:00.000Z,2,GIS,GIS,,True,True,False,False,,
