name,isShown,info,tile_name,api_endpoints_name
DoublingRate,0,,מגמת שינוי במאומתים חדשים וקצב הכפלה,
researchGraph,1,"מגמת שינוי בכמות המאומתים עבור נקודות זמן חשובות לאורך תקופת מגיפת הקורונה, לאורך ציר זמן החל משבועיים לפני האירוע ועד חודש אחרי.

אחוז מחוסנים מצטבר - אחוז המחוסנים בטווח התוקף החיסוני
",תחקור תחלואה לאור אירועים והתחסנות,
deathVaccinationStatusDaily,1,"המספר היומי של הנפטרים מנגיף COVID-19, לאורך הזמן, לפי מצב התחסנות.

ל-100K תושבים - שכיחות הנפטרים לכל 100,000 תושבים, עבור כל קבוצת מצב התחסנות. 

מחוסנים: 
- מי שקיבלו 2 או 3 מנות חיסון ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עברה חצי שנה מאז
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",נפטרים יומי – מצב תחלואה ,
arrivingAboardDaily,0,"מספר הנכנסים לישראל מחו""ל מכל המעברים, בכל יום, בחלוקה בין מחוסנים או מחלימים לבין לא מחוסנים. 
הנתונים מתעדכנים אחת ליום על בסיס דיווח של מרשם אוכלוסין ויתכנו השלמות מידע מדיווחים מאוחרים.

מחוסנים: 
- מי שקיבלו 2 או 3 מנות חיסון ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עברה חצי שנה מאז
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחלימים - מי שהחלימו לאחר שנמצאו חיוביים בבדיקת PCR וטרם עברה חצי שנה מתאריך ההחלמה. 

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה, או מי שבתהליך חיסון או טרם הגיע לתחילת תוקף המנה, או מי שהם מחוסנים שהסתיים עבורם תוקף המנה ולא התחסנו במנה נוספת.
","תחלואה מחו""ל – נכנסים ",
positiveArrivingAboardDaily,1,"מספר המאומתים הנכנסים לישראל מחו""ל מכל המעברים בכל יום בחלוקה בין תושבי ישראל לזרים.
הנתונים מתעדכנים על בסיס דיווח של מרשם אוכלוסין ויתכנו השלמות מידע מדיווחים מאוחרים.

ניתן להציג את נתון המאומתים לפי אחוז מתוך הנכנסים מאותה קבוצת אוכלוסיה :תושבים או זרים.

מאומתים - הם מי שנבדקו ונמצאו חיובי לנגיף COVID-19 בבדיקת PCR (בדיקת מטוש), עד 10 ימים מהכניסה לישראל, בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.
","תחלואה מחו""ל – מאומתים ",
arrivingAboardCountry,1,"סך הנכנסים והמאומתים שנכנסו לישראל מחו""ל מכל המעברים לפי מדינות, ואחוז המאומתים מסך הנכנסים מכל מדינה בחלוקה בין תושבי ישראל לזרים.
הנתונים מתעדכנים על בסיס דיווח של מרשם אוכלוסין ויתכנו השלמות מידע מדיווחים מאוחרים.

מאומתים - הם מי שנבדקו ונמצאו חיובי לנגיף COVID-19 בבדיקת PCR (בדיקת מטוש), עד 10 ימים מהכניסה לישראל בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.

צבע המצוין לכל מדינה מסמן את הסיווג האחרון שנקבע עבורה ומשמש לקביעת הנחיות לנוסעים וחוזרים
","תחלואה מחו""ל – מדינות ",
hospitalizationStatusDaily,1,"מספר המאושפזים היומי בבתי חולים לאשפוז כללי בחלוקה לפי מצב רפואי : קשה (כולל קריטי), בינוני וקל.","סה""כ מאושפזים – יומי",
hospVaccinationDuration ,0,"חלוקת מאושפזים עקב מחלת נגיף COVID-19 בבתי חולים לאשפוז כללי, החל ממבצע החיסונים, לפי מצבי התחסנות בכל אחד מטווחי מספר ימים שהם שוהים באשפוז

מחוסנים: 
- מי שקיבלו 2 או 3 מנות חיסון ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עברה חצי שנה מאז
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.",משך ימי אישפוז לפי מצבי התחסנות,
summaryLast7Days,1,סיכום של מדדים עיקריים ב-7 הימים אחרונים (לא כולל את יום העדכון) ואת השינוי באחוזים לעומת 7 הימים הקודמים.,אריח סיכומי 7 ימים אחרונים,
hardPatient,1,"מספר החולים במצב קשה וקריטי המאושפזים בבתי החולים.

חולה קשה - מי שחולה במחלת נגיף COVID-19 ושהוגדר במצב קשה או קריטי על ידי מערכת הבריאות.",חולים קשים,
breathedPerDate,0,סך החולים בנגיף COVID-19 המחוברים למכונת הנשמה בבתי החולים,מונשמים,
vaccinated,1,"מספר מקבלי החיסון מפני נגיף COVID-19 מתחילת מבצע החיסונים: מנה ראשונה, מנה שניה ומנה שלישית",מתחסנים,
dailyTests,0,,בדיקות יומיות,
DeathGraph,0,,נפטרים,
recoveredGraph,0,,מחלימים,
verifiedSmall,1,"מספר המאומתים לנגיף COVID-19 שאותרו משעה 00:00 עד שעה 23:59 של יום אתמול.

מאומתים - מי שנבדקו ונמצאו חיובי לנגיף COVID-19 בבדיקת PCR (בדיקת מטוש), בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.",מאומתים אתמול,
sickPerLocation,1,"מספר החולים בנגיף COVID-19 הפעילים בישראל, נכון למועד העדכון האחרון

חולה פעיל - מי שנבדק ונמצא חיובי לנגיף COVID-19 בבדיקת PCR (בדיקת מטוש), בין אם הופיעו אצלו תסמינים ובין אם לא, שעוד לא הוגדר כמחלים ושלא נפטר.

מספר המאושפזים בבתי חולים כולל גם מחלימים שעדין מאושפזים עקב סיבוכי המחלה.",חולים פעילים,
deadPatientsPerDate,1,מספר הנפטרים מנגיף COVID-19 החל מפרוץ המגפה.,נפטרים מצטבר,
recoveredSoFar,0,,החלימו עד כה,
testsTaken,1,"אחוז הנבדקים שנמצאו חיוביים לנגיף COVID-19 מתוך מספר נבדקים לגילוי הנגיף אתמול.

נבדקים לגילוי הנגיף אתמול - מי שעבר בדיקת PCR (בדיקת מטוש) לגילוי נגיף COVID-19 (ללא בדיקות נלוות לקביעת החלמה), שתוצאותיה התקבלו משעה 00:00 עד שעה 23:59 של יום אתמול.

כלל הבדיקות אתמול – מספר תוצאות של בדיקות PCR (בדיקות מטוש), הן לבדיקה לזיהוי ראשוני של הנגיף והן לבדיקה נלוות לקביעת החלמה, שהתקבלו החל מחצות 00:00 עד שעה 23:59 של יום אתמול.",אחוז נבדקים חיוביים אתמול,
decisionIndices,0,,מדדי התפשטות,
infectedPerDate,0,,עקומה אפידמית,
hardBreathDeadGraph,0,,חולים קשה ומונשמים,
contagionAreas,0,,אזורי התפשטות,
headlight,0,"ציוני וצבעי הרמזור לישובים בהם יותר מ-2,000 תושבים.
הציון מחושב בכל יום על סמך נתונים יומיים של שאר המדדים המוצגים בטבלה (לא כולל חולים פעילים). 
צבע הרקע של הציון מעיד על הסיווג אליו משויך הישוב לפי הקטגוריות של מודל הרמזור המפורטות במקרא.",רמזור ללא צבעי ממשלה,
headlight-government,1,"ציון וצבעי הרמזור לישובים בהם יותר מ 2,000 תושבים.

צבע תקנות חינוך - צבע הקטגוריה במודל הרמזור אליה משויך הישוב, הנקבע אחת לשבוע ומשמש לקביעת הנחיות לפעילות מוסדות החינוך ביישוב במשך שבוע הלימודים

ציון וצבע יומי - ציון המחושב בכל יום על סמך נתונים יומיים של שאר המדדים המוצגים בטבלה (למעט חולים פעילים). 
צבע הרקע של הציון מעיד על הסיווג אליו משויך הישוב לפי הקטגוריות של מודל הרמזור המפורטים במקרא",רמזור כולל צבע ממשלה,
missingStaff,0,"מספר אנשי הצוות הרפואי הנמצאים בבידוד או נמצאו חיוביים לקורונה (וטרם החלימו), נכון למועד ההצגה בפילוח אנשי המקצוע.
בכפתור ""פירוט אחרים"" ניתן לצפות בפילוח לפי מקצועות נוספים, מעבר למקצועות סיעוד ורפואה.",אנשי צוות בבידוד ומאומתים,
hospitalStatusTable,0,,סטטוס בתי חולים,
vaccinatedMeasurmentsGroup,1,,מדדי התחסנות,
newVaccinatedDaily,1,"המספר היומי של  מקבלי החיסון נגד נגיף COVID-19, מנה ראשונה, מנה שנייה ומנה שלישית",מספר מתחסנים - יומי,
totalVaccinatedDaily,1,"האחוז המצטבר של מקבלי החיסון לפי מצבי התחסנות: מחוסנים, מחוסנים ללא תוקף ולא מחוסנים, בכל יום עד לתאריך המוצג.

ניתן גם להציג את האחוז המצטבר או את המספר המצטבר של מקבלי חיסון לפי מספרי המנות. 

מחוסנים: 
- מי שקיבלו 2 או 3 מנות חיסון ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עברה חצי שנה מאז
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.",מתחסנים מצטבר,
vaccinationCities,1,"ישובים בהם יותר מ-2,000 תושבים. לכל ישוב מוצגים:
- אחוז מקבלי חיסון מנה ראשונה, מנה שניה ומנה שלישית
- מספר חולים פעילים לכל 10,000 תושבים
- הציון היומי המחושב לישוב מתוכנית הרמזור",התחסנות לפי ישובים,
positiveTestsGroup,1,,מדדי בדיקות,
hardGraphsGroup,1,,מדדים חולים קשה,
hardActiveSickGraph,1,"מספר החולים במצב קשה (כולל במצב קריטי), לאורך זמן, אשר מאושפזים בבתי חולים לאשפוז כללי. 

חולה קשה - מי ש חולה במחלת נגיף COVID-19 ושהוגדר במצב קשה או קריטי על ידי מערכת הבריאות. ",חולים קשה - פעילים ,
propagationGraphsGroup,1,,מדדי הדבקה יומי,
newVerifiedDaily,1,"המספר היומי של נדבקים בנגיף COVID-19.

מאומתים - מי שנבדקו ונמצאו חיובי לנגיף COVID-19 בבדיקת PCR (בדיקת מטוש), בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.",מאומתים חדשים יומי ,
InfectionFactor,1,"מקדם הדבקה R - המספר הממוצע של אנשים שידבקו מאדם שנושא את הנגיף COVID-19. 
כשהערך של R גבוה מ-1 - המחלה מתפשטת, כלומר מספר הנדבקים גדל.
מקדם ההדבקה R מחושב בכל יום.
10 הימים בהם לא מוצג ערך ל-R מבטאים זמן השהייה ממוצע מרגע ההדבקה עד אימות הנדבקים ותהליך חישוב ממוצע שבועי לקבלת ערך אמין. 
מקדם ההדבקה R מעיד על קצב השינוי במספר המאומתים הכללי בארץ, וכולל גם את המאומתים השבים מחו""ל (ולכן הוא רק קירוב של מקדם ההדבקה).
ניתן להציג את הנתונים לפי תקופות או סביב אירוע חשוב, באמצעות כפתור הסינון בצד ימין למעלה. 
הסבר מפורט על שיטת החישוב ניתן לקרא במסמך ""חישוב מקדם ההדבקה R"" של מרכז המידע והידע הלאומי למערכה בקורונה.",מקדם הדבקה,
deathDailyGraph,1,"מגמת השינוי היומית במספר הנפטרים מנגיף COVID-19, לאורך הזמן",נפטרים יומי ,
recoveredDailyGraph,1,"מגמת השינוי היומית במספר המחלימים מנגיף COVID-19, לאורך הזמן",מחלימים יומי ,
VerifiedAverageWeek,1,"ממוצע יומי של מאומתים חדשים לכל שבוע.
מאומתים - מי שנבדקו ונמצאו חיובי לנגיף COVID-19 בבדיקת PCR (בדיקת מטוש), בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.",ממוצע מאומתים שבועי,
summary7verified,1,מספר המאומתים לנגיף COVID-19 שאותרו ב-7 הימים האחרונים (לא כולל את יום העדכון) והשינוי באחוזים לעומת 7 הימים הקודמים.,מספר מאומתים 7 ימים,
summary7severe,1,מספר החולים החדשים במצב קשה וקריטי במחלת נגיף COVID-19 ב-7 הימים האחרונים (לא כולל את יום העדכון) והשינוי באחוזים לעומת 7 הימים הקודמים.,מספר חולים קשה 7 ימים,
summary7deceased,1,מספר הנפטרים מנגיף COVID-19 ב-7 הימים האחרונים (לא כולל את יום העדכון) והשינוי באחוזים לעומת 7 הימים הקודמים.,מספר נפטרים 7 ימים,
summary7tests,1,"מספר הנבדקים בבדיקות  PCR (מטוש) לגילוי נגיף COVID-19 ב-7 הימים האחרונים (לא כולל את יום העדכון) והשינוי באחוזים לעומת 7 הימים הקודמים.
הנתון אינו כולל נבדקים בבדיקות נלוות לקביעת החלמה.

נבדקים חיוביים - אחוז הנבדקים שנמצאו חיוביים לנגיף COVID-19 מתוך מספר הנבדקים לגילוי הנגיף ב 7 הימים האחרונים.",מספר נבדקים 7 ימים,
testedByAge,1,"מספר הנבדקים בבדיקות PCR (בדיקות מטוש) לגילוי קורונה (בדיקות שבוצעו לגילוי הנגיף בלבד), לפי קבוצות גיל מכלל האוכלוסיה, ומתוכם את מספר הנבדקים שנמצאו חיוביים לנגיף COVID-19.",נבדקים לפי קבוצת גיל,
