name,isShown,info,rn,tile_name,api_endpoints_name
infectedPerDate,0,,11,עקומה אפידמית,
hardBreathDeadGraph,0,,12,חולים קשה ומונשמים,
infectedByAgeAndGender,1,"פילוח המאומתים לנגיף COVID-19 לפי קבוצות גיל באוכלוסייה ולפי פילוח זכר ונקבה
ניתן לסנן את נתוני המאומתים לפי קבוצות: חולים קשה, מונשמים ונפטרים ",13,פילוח מדדים שונים על פי גיל ומין,
contagionAreas,0,,14,אזורי התפשטות,
headlight,1,"ציוני וצבעי הרמזור לישובים בהם יותר מ-2,000 תושבים.
הציון מחושב בכל יום על סמך נתונים יומיים של שאר המדדים המוצגים בטבלה (לא כולל חולים פעילים). 
צבע הרקע של הציון מעיד על הסיווג אליו משויך הישוב לפי הקטגוריות של מודל הרמזור המפורטות במקרא.",15,תוכנית הרמזור,
headlightGovernment,0,"ציון וצבעי הרמזור לישובים בהם יותר מ 2,000 תושבים.

צבע תקנות חינוך - צבע הקטגוריה במודל הרמזור אליה משויך הישוב, הנקבע אחת לשבוע ומשמש לקביעת הנחיות לפעילות מוסדות החינוך ביישוב במשך שבוע הלימודים

ציון וצבע יומי - ציון המחושב בכל יום על סמך נתונים יומיים של שאר המדדים המוצגים בטבלה (למעט חולים פעילים). 
צבע הרקע של הציון מעיד על הסיווג אליו משויך הישוב לפי הקטגוריות של מודל הרמזור המפורטים במקרא",16,תוכנית הרמזור,
missingStaff,0,"מספר אנשי הצוות הרפואי הנמצאים בבידוד או נמצאו חיוביים לקורונה (וטרם החלימו), נכון למועד ההצגה בפילוח אנשי המקצוע.
בכפתור ""פירוט אחרים"" ניתן לצפות בפילוח לפי מקצועות נוספים, מעבר למקצועות סיעוד ורפואה.",17,אנשי צוות בריאות מאומתים ובבידוד,
hospitalStatusTable,0,,18,סטטוס בתי חולים,
dailyTests,0,,19,בדיקות יומיות,
DeathGraph,0,,20,נפטרים,
recoveredGraph,0,,21,מחלימים,
sumSettlementsByColor,1,"פילוח צבעי הרמזור של ישובים בהם יותר מ-2,000 תושבים, לאורך ציר הזמן.
הנתונים מבוססים על הציון היומי המחושב לכל ישוב.
ציר הגובה מייצג את מספר היישובים וציר הרוחב הוא הזמן.",22,פילוח ציוני רמזור ישובים,
vaccinatedMeasurmentsGroup,1,,23,מדדי התחסנות,
newVaccinatedDaily,1,"המספר היומי של  מקבלי החיסון נגד נגיף COVID-19, בחלוקה לפי מספר המנות.",24,מספר התחסנויות - יומי,
totalVaccinatedDaily,1,"האחוז המצטבר של מקבלי החיסון לפי מצבי התחסנות: מחוסנים, מחוסנים ללא תוקף ולא מחוסנים, בכל יום עד לתאריך המוצג.

ניתן גם להציג את האחוז המצטבר או את המספר המצטבר של מקבלי חיסון לפי מספרי המנות,מתחילת מבצע החיסונים. 

מחוסנים: 
- מי שקיבלו 2 מנות חיסון או יותר ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עבר מאז תוקף הזמן שנקבע למנה
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.",25,מתחסנים מצטבר,
vaccinatedByAge,1,"אחוז מקבלי החיסון לפי מצבי התחסנות מכלל האוכלוסיה, לפי קבוצות גיל: מחוסנים, מחוסנים ללא תוקף ולא מחוסנים.  

ניתן גם להציג את אחוז מקבלי חיסון לפי מספרי המנות.

בתצוגה של התפלגות לפי מנות חיסון, גיל המחוסנים המוצג הוא נכון לזמן החיסון.
בתצוגה של התפלגות לפי מצבי התחסנות, גיל המחוסנים המוצג הוא נכון למועד הצגת הנתונים. 

מחוסנים: 
- מי שקיבלו 2 מנות חיסון או יותר ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עבר מאז תוקף הזמן שנקבע למנה
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
 ",26,אחוז מתחסנים לפי קבוצות גיל ,
vaccinationCities,1,"ישובים בהם יותר מ-2,000 תושבים. לכל ישוב מוצגים:
- אחוז מקבלי חיסון מנה ראשונה, מנה שניה ומנה שלישית
- מספר חולים פעילים לכל 10,000 תושבים
- הציון היומי המחושב לישוב מתוכנית הרמזור",27,התחסנות לפי ישובים,
positiveTestsGroup,1,,28,מדדי בדיקות,
positiveTestsPercentage,1,"אחוז הנבדקים שנמצאו חיוביים לנגיף COVID-19 מתוך כלל הנבדקים.
 
נבדק - מי שעבר בדיקה לאיתור של הנגיף (ללא בדיקות נלוות לקביעת החלמה) בבדיקת PCR או בבדיקת אנטיגן מפוקחות (החל מה 5.1.2022).
",29,אחוז נבדקים חיוביים ,
positiveTestsDaily,1,"המספר היומי של בדיקות PCR ובדיקות אנטיגן מפוקחות לגילוי נגיף COVID-19 שבוצעו.
החישוב כולל רק בדיקות ראשונות לגילוי הנגיף (ללא בדיקות נלוות לבדיקת החלמה).
",30,מספר בדיקות קורונה - יומי,
hardGraphsGroup,1,,31,מדדים חולים קשה,
hardActiveSickGraph,1,"מספר החולים היומי במחלת נגיף COVID-19 המאושפזים בבתי חולים בחלוקה לפי מצב רפואי : קשה (כולל קריטי), בינוני וקל.",32,חולים קשה - פעילים ,
newHardSickDaily,0,"השינוי היומי במספר החולים במחלת נגיף COVID-19 המאושפזים בבתי חולים בכל אחד מ 3 המצבים הרפואיים: קל, בינוני וקשה (כולל קריטי)
הנתון היומי מציג את מספר החולים לפי מצבם הרפואי החדש אם יום קודם הוגדרו במצב רפואי אחר",33,חולים קשה חדשים - שינוי יומי ,
propagationGraphsGroup,1,,34,מדדי הדבקה יומי,
newVerifiedDaily,1,"המספר היומי של נדבקים בנגיף COVID-19 והממוצע נע ב 7 ימים.

מאומתים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022) , בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.",35,מאומתים חדשים יומי ,
InfectionFactor,1,"מקדם הדבקה R - המספר הממוצע של אנשים שידבקו מאדם שנושא את הנגיף COVID-19. 
כשהערך של R גבוה מ-1 - המחלה מתפשטת, כלומר מספר הנדבקים גדל.
מקדם ההדבקה R מחושב בכל יום.
10 הימים בהם לא מוצג ערך ל-R מבטאים זמן השהייה ממוצע מרגע ההדבקה עד אימות הנדבקים ותהליך חישוב ממוצע שבועי לקבלת ערך אמין. 
מקדם ההדבקה R מעיד על קצב השינוי במספר המאומתים הכללי בארץ, וכולל גם את המאומתים השבים מחו""ל (ולכן הוא רק קירוב של מקדם ההדבקה).
ניתן להציג את הנתונים לפי תקופות או סביב אירוע חשוב, באמצעות כפתור הסינון בצד ימין למעלה. 
הסבר מפורט על שיטת החישוב ניתן לקרא במסמך ""חישוב מקדם ההדבקה R"" של מרכז המידע והידע הלאומי למערכה בקורונה.",36,מקדם ההדבקה R,
deathDailyGraph,1,"מגמת השינוי היומית במספר הנפטרים ממחלת הנגיף COVID-19, לאורך ציר הזמן.
נתוני הנפטרים מתעדכנים לאחר שנבדקו תעודות הפטירה לוידוא סיבת המוות ולכן ייתכנו עדכונים מאוחרים של מספר הנפטרים. 
",37,נפטרים - יומי ,
recoveredDailyGraph,1,"מגמת השינוי היומית במספר המחלימים מנגיף COVID-19, לאורך הזמן",38,מחלימים יומי ,
VerifiedAverageWeek,1,"ממוצע יומי של מאומתים חדשים לכל שבוע.

מאומתים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022) , בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.",39,ממוצע מאומתים שבועי,
HospitalizedStatusAndOccupancy,0,,40,התפלגות מיטות וסטטוס חולים  ,
DoublingRate,0,,41,מגמת שינוי במאומתים חדשים וקצב הכפלה,
researchGraph,1,"מגמת שינוי בכמות המאומתים עבור נקודות זמן חשובות לאורך תקופת מגיפת הקורונה, לאורך ציר זמן החל משבועיים לפני האירוע ועד חודש אחרי.

אחוז מחוסנים מצטבר - אחוז המחוסנים בטווח התוקף החיסוני
",42,תחקור תחלואה לאור אירועים והתחסנות,
VerfiiedVaccinationStatusDaily,1,"המספר היומי של נדבקים בנגיף COVID-19, לפי מצב התחסנות.

ל-100K תושבים - שכיחות הנדבקים לכל 100,000 תושבים, עבור כל קבוצת מצב התחסנות. 

מחוסנים: 
- מי שקיבלו 2 מנות חיסון או יותר ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עבר מאז תוקף הזמן שנקבע למנה
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",43,מאומתים יומי - התחסנות,
SeriousVaccinationStatusDaily,1,"המספר היומי של חולים במחלת נגיף COVID-19 במצב קשה (כולל במצב קריטי), לאורך זמן, המאושפזים בבתי חולים לאשפוז כללי, לפי מצב התחסנות.

ל-100K תושבים - שכיחות החולים קשה  לכל 100,000 תושבים, עבור כל קבוצת מצב התחסנות. 

חולים קשה – פעילים: מספר החולים במצב קשה וקריטי בסוף כל יום.

חולים קשה – חדשים: מספר החולים במצב קשה וקריטי שיום קודם הוגדרו במצב רפואי אחר.

מחוסנים: 
- מי שקיבלו 2 מנות חיסון או יותר ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עבר מאז תוקף הזמן שנקבע למנה
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",44,חולים קשה - התחסנות ,
VaccinationStatusAgg,1,"פילוח של מספר החולים הפעילים וחולים קשה במחלת נגיף COVID-19, לפי קבוצות גיל באוכלוסייה ולפי מצבי התחסנות בכל קבוצת גיל.

לאור גידול באוכלוסייה בקבוצות הגיל בישראל, חל עדכון בתמונת נתונים המוצגת. נתוני אוכלוסיה כעת מתייחסים לאפריל 2021. 

ל-100K תושבים - שכיחות החולים לכל 100,000 תושבים, עבור כל קבוצת מצב התחסנות. 

חולים פעילים - הם כל מי שנבדקו ונמצאו חיוביים לנגיף COVID-19, ללא קשר להופעת תסמינים, שלא קיבלו עדיין תוצאה שלילית לנגיף בבדיקות נוספות ושלא נפטרו.

מחוסנים: 
- מי שקיבלו 2 מנות חיסון או יותר ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עבר מאז תוקף הזמן שנקבע למנה
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",45,חולים פעילים - גיל והתחסנות,
deathVaccinationStatusDaily,1,"המספר היומי של הנפטרים מנגיף COVID-19, לאורך הזמן, לפי מצב התחסנות.

ל-100K תושבים - שכיחות הנפטרים לכל 100,000 תושבים, עבור כל קבוצת מצב התחסנות. 

מחוסנים: 
- מי שקיבלו 2 מנות חיסון או יותר ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עבר מאז תוקף הזמן שנקבע למנה
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",46,נפטרים יומי – מצב התחסנות,
arrivingAboardDaily,1,"מספר התושבים הנכנסים לישראל מחו""ל מכל המעברים, בכל יום, לפי מצב התחסנות. 
ניתן להציג את נתון המאומתים מתוך התושבים הנכנסים לפי מצב ההתחסנות.
נתוני המצב החיסוני של התושבים הנכנסים מחו""ל מעודכנים החל מתאריך 28.9.2021 

מחוסנים: 
- מי שקיבלו 2 מנות חיסון או יותר ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עבר מאז תוקף הזמן שנקבע למנה
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.
",47,תושבים שנכנסו לישראל - מצב התחסנות,
positiveArrivingAboardDaily,1,"מספר המאומתים הנכנסים לישראל מחו""ל מכל המעברים, בכל יום, בחלוקה בין תושבי ישראל לזרים.

ניתן להציג את נתון המאומתים לפי אחוז מתוך הנכנסים מאותה קבוצת אוכלוסיה :תושבים או זרים.

מאומתים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022), עד 10 ימים מהכניסה לישראל ,בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.
",48,מגמת מאומתים שנכנסו לישראל,
arrivingAboardCountry,1,"סך הנכנסים והמאומתים שנכנסו לישראל מחו""ל מכל המעברים לפי מדינות, ואחוז המאומתים מסך הנכנסים מכל מדינה בחלוקה בין תושבי ישראל לזרים.

מאומתים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022), עד 10 ימים מהכניסה לישראל ,בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.

צבע המצוין לכל מדינה מסמן את הסיווג האחרון שנקבע עבורה ומשמש לקביעת הנחיות לנוסעים וחוזרים
",49,מאומתים הנכנסים לישראל לפי מדינות,
hospitalizationStatusDaily,1,"מספר החולים היומי במחלת נגיף COVID-19 המאושפזים בבתי חולים בחלוקה לפי מצב רפואי : קשה (כולל קריטי), בינוני וקל.",50,מספר מאושפזים – יומי,
hospVaccinationDuration ,0,"חלוקת מאושפזים עקב מחלת נגיף COVID-19 בבתי חולים לאשפוז כללי, החל ממבצע החיסונים, לפי מצבי התחסנות בכל אחד מטווחי מספר ימים שהם שוהים באשפוז

מחוסנים: 
- מי שקיבלו 2 מנות חיסון או יותר ועבר שבוע מאז קבלת המנה האחרונה (שבועיים בחיסוני מודרנה) אך עוד לא עבר מאז תוקף הזמן שנקבע למנה
- מי שהחלימו וקיבלו לאחר מכן לפחות מנת חיסון אחת ועבר שבוע מאז קבלת המנה (שבועיים בחיסוני מודרנה)
- מי שקיבלו לפחות מנת חיסון אחת ולאחר מכן נדבקו והחלימו

מחוסנים ללא תוקף - מי שקיבלו 2 מנות חיסון ועברו יותר מחצי שנה ושבוע מאז קבלת המנה האחרונה (חצי שנה ושבועיים בחיסוני מודרנה) ולא קיבלו מנה נוספת.

לא מחוסנים - מי שלא קיבלו מנת חיסון ראשונה.",51,משך ימי אישפוז לפי מצבי התחסנות,
summaryLast7Days,1,סיכום של מדדים עיקריים ב-7 הימים אחרונים (לא כולל את יום העדכון) ואת השינוי באחוזים לעומת 7 הימים הקודמים.,52,אריח סיכומי 7 ימים אחרונים,
summary7verified,1,מספר המאומתים לנגיף COVID-19 שאותרו ב-7 הימים האחרונים (לא כולל את יום העדכון) והשינוי באחוזים לעומת 7 הימים הקודמים.,53,מספר המאומתים,
summary7severe,1,מספר החולים החדשים במצב קשה וקריטי במחלת נגיף COVID-19 ב-7 הימים האחרונים (לא כולל את יום העדכון) והשינוי באחוזים לעומת 7 הימים הקודמים.,54,מספר חולים קשה,
summary7deceased,1,מספר הנפטרים מנגיף COVID-19 ב-7 הימים האחרונים (לא כולל את יום העדכון) והשינוי באחוזים לעומת 7 הימים הקודמים.,55,מספר נפטרים,
summary7tests,1,"מספר הנבדקים בבדיקות לגילוי נגיף COVID-19 מסוג PCR או אנטיגן ב-7 הימים האחרונים (לא כולל את יום העדכון) והשינוי באחוזים לעומת 7 הימים הקודמים.
הנתון אינו כולל נבדקים בבדיקות נלוות לקביעת החלמה.

נבדקים חיוביים - אחוז הנבדקים שנמצאו חיוביים לנגיף COVID-19 מתוך מספר הנבדקים לגילוי הנגיף ב 7 הימים האחרונים.",56,מספר נבדקים,
testedByAge,1,"מספר הנבדקים בבדיקות PCR או בבדיקות אנטיגן מפוקחות (החל מה 5.1.2022), לפי קבוצות גיל מכלל האוכלוסיה, ומתוכם את מספר הנבדקים שנמצאו חיוביים לנגיף COVID-19.",57,מספר נבדקים לפי קבוצות גיל,
activeKidsSickCity,1,"אחוז התחלואה עד גיל 19 ביחס לתחלואה הכללית בישובים בהם מעל 2000 תושבים ומספר החולים הפעילים עד גיל 19 מעל 14.
ציר הגובה מייצג את אחוז החולים הפעילים עד גיל 19 וציר הרוחב מייצג את מספר החולים הפעילים לכל 10,000 תושבים בישוב. 
הנקודות מייצגות את הישובים ומיקומם על פני 2 הצירים.
כל ישוב צבוע בצבע הסיווג אליו הוא שייך לפי מודל הרמזור.",58,תחלואת ילדים ביחס לתחלואה הכללית -יישובים,
sickReturnsAgeVaccination,1,"מספר המאומתים החוזרים מכלל האוכלוסיה לפי קבוצות גיל בחלוקה בין מאומתים חוזרים שהיו מחוסנים לפחות פעם אחת ביום האימות הנוסף לבין מאומתים חוזרים שלא התחסנו כלל.  

ניתן להציג את הנתונים כאחוז מסך המאומתים בקבוצת הגיל עבור כל אחת מקבוצות המצב החיסוני. 

מאומתים חוזרים - מי שנבדקו ונמצאו חיוביים פעם נוספת לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022) , החל מ-90 יום לאחר הגילוי הקודם, בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.",59,תחלואה חוזרת - גיל והתחסנות,
verifiedKidsAgeDaily,1,"המספר היומי הממוצע ב-7 הימים האחרונים של מאומתים עד גיל 19 בחלוקה לפי 4 קבוצות גיל: 4-0, 11-5, 12-15, 19-16.

מאומתים - מי שנבדקו ונמצאו חיוביים לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022) , בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.",60,מגמת ילדים מאומתים – ממוצע נע 7 ימים,
isolatedKidsAgeDaily,1,"המספר היומי הממוצע ב-7 הימים האחרונים של דיווחים על בידודים בקרב האוכלוסייה עד גיל 19 בחלוקה לפי 4 קבוצות גיל: 4-0, 11-5, 15-12, 19-16.",61,מגמת ילדים מבודדים  – ממוצע נע 7 ימים,
dailyReturnSick,1,"מספר המאומתים החוזרים היומי בחלוקה בין מאומתים חוזרים שהיו מחוסנים לפחות פעם אחת ביום האימות החוזר לבין מאומתים חוזרים שלא התחסנו כלל. 

מאומתים חוזרים - מי שנבדקו ונמצאו חיוביים פעם נוספת לנגיף COVID-19 בבדיקת PCR או בבדיקת אנטיגן מפוקחת (החל מה 5.1.2022) , החל מ-90 יום לאחר הגילוי הקודם, בין אם הופיעו אצלם תסמינים ובין אם לא, בין אם הם חולים, החלימו או נפטרו.",62,תחלואה חוזרת לפי התחסנות - יומי,
occupanciesDaily,1,"אריח זה מציג בכל יום את אחוז התפוסה היומית במחלקות פנימיות בכלל בתי החולים ואת האחוז הממוצע של הנתון ב-7 הימים האחרונים בשנה קודמת עבור אותו יום . 
ניתן לבחור בכלל המחלקות ובבית חולים מסוים.
ניתן לבחור תצוגה עד למשך שנה .
",63,אחוז תפוסת מיטות באישפוזים,
occupancies,1,"אחוז התפוסה הכללית ואחוז התפוסה במחלקות הפנימיות לפי בתי חולים.
גרף אחוז התפוסה לבית חולים צבוע באדום כאשר הנתון מגיע ל 100 ומעלה.",64,"תפוסת מיטות בביה""ח",
flueVaccinationsAge,0,"מספר מקבלי החיסון מפני נגיף השפעת, לפי קבוצות גיל מכלל האוכלוסיה, מתחילת החיסונים בחורף זה.",65,התחסנות נגד נגיף השפעת - גיל,
flueVaccinationsDaily,0,המספר המצטבר היומי של מקבלי החיסון מפני נגיף השפעת מתחילת החיסונים בחורף זה .,66,התחסנות נגד נגיף השפעת - מצטבר,
erAverageTime,0,"אריח זה מציג את ממוצע מספר הביקורים בכל יום בחדרי המיון בבתי החולים בחודש האחרון (30 ימים), את הממוצע ב-7 הימים האחרונים ואת הממוצע ב-7 הימים האחרונים בחודש קודם (30 ימים קודמים).

ניתן לבחור : 
 - ממוצע מספר הביקורים  לפי חודשים בשנה האחרונה (12 חודשים אחרונים) ואת ממוצע מספר הביקורים באותו חודש בשנה קודמת.
 - ממוצע מספר הביקורים לפי שעות בחודש האחרון ואת ממוצע מספר הביקורים באותן שעות בחודש הקודם.
",67,ביקורים בחדרי מיון,
erVisitors,0,"אריח זה מציג את ממוצע זמן השהייה בחדרי המיון בבתי החולים בחודש האחרון (30 ימים), את הממוצע ב-7 הימים האחרונים ואת הממוצע ב-7 הימים האחרונים בחודש קודם (30 ימים קודמים).

ניתן לבחור : 
 - ממוצע זמן השהייה לפי חודשים בשנה האחרונה (12 חודשים אחרונים) ואת ממוצע זמן השהייה באותו חודש בשנה קודמת.
 - ממוצע זמן השהייה לפי שעות בחודש האחרון ואת ממוצע זמן השהייה באותן שעות בחודש הקודם.
",68,ממוצע זמן שהיה במיון,
isolatedDaily,1,"מספר הדיווחים היומי על בידודים לפי סיבות הבידוד : חזרה מחו""ל, חשיפה עם מאומת ואחר
אריח זה אינו כולל מאומתים בבידוד ",69,מגמת מבודדים חדשים – סיבת בידוד,
newHospitalizationDaily,1,"השינוי היומי במספר החולים במחלת נגיף COVID-19 המאושפזים בבתי חולים בכל אחד מ 3 המצבים הרפואיים: קל, בינוני וקשה (כולל קריטי)
הנתון היומי מציג את מספר החולים לפי מצבם הרפואי החדש אם יום קודם הוגדרו במצב רפואי אחר",70,מצב מאושפזים - שינוי יומי,
hospitalizedKidsAgeDaily,1,"אריח זה מציג את הממוצע היומי  של ילדים באשפוז עקב נגיף הקורונה ב-7 הימים האחרונים בקרב האוכלוסייה עד גיל 19, בחלוקה לפי קבוצות גיל: 0 עד 4, 5 עד 11, 12 עד 15, 16 עד 19",71,מגמת ילדים באשפוז - ממוצע שבועי,
